keys,fr,en
escQuit,[ÉCHAP] Quitter,[ESC] Quit
objectiveWriteArticle,Objectif : écrire un article avec le PC du petit bureau,Objective: write an article on the small office PC
objectiveTalkIvan,Objectif : parler à Ivan,Objective: talk to Ivan
cpcFoundLabel,Canard PC trouvés: ,Canard PCs found:
btnContinue,Continuer,Continue
menuOptions,Options,Options
settingsSoundVolume,Volume des bruitages,Sound volume
settingsResolution,Résolution,Resolution
settingsFullscreen,Plein écran,Fullscreen
settingsAdvancedLighting,Éclairage avancé,Advanced lighting
settingsEnableDlss,Activer le DLSS 5,Enable DLSS 5
settingsMouseSensitivity,Sensibilité souris,Mouse sensitivity
settingsInvertMouseY,Inverser Y souris,Invert Y mouse
settingsLanguage,Langue,Language
btnApply,Valider,Apply
btnNewGame,Nouvelle partie,New game
btnQuit,Quitter,Quit
gameTitle,CanardPC : l'IA ne répond plus,CanardPC: the AI is no longer responding
gameCredits,Par Datoh pour la GameJam CanardPC 2026,By Datoh for the GameJam CanardPC 2026
endGameFinished,Vous avez fini,You have finished
endThankYou,Merci d'avoir joué,Thank you for playing
controlsHint,ZQSD / ESPACE / ÉCHAP / Souris - Options: F1,WASD / SPACE / ESC / Mouse - Options: F1
hintTalkIvan,[ESPACE] Parler à Ivan,[SPACE] Talk to Ivan
hintTalkRobot,[ESPACE] Parler à %s,[SPACE] Talk to %s
hintInteract,[ESPACE] Interagir,[SPACE] Interact
hintWatchYoupub,[ESPACE] Regarder YouPub,[SPACE] Watch YouPub
hintSolveCaptcha,[ESPACE] Résoudre le CAPTCHA,[SPACE] Solve the CAPTCHA
hintWatchVideo,[ESPACE] Regarder la vidéo,[SPACE] Watch the video
hintLookTower,[ESPACE] Regarder la tour,[SPACE] Look at the tower
hintRewireCables,[ESPACE] Rebrancher les câbles,[SPACE] Reconnect the cables
hintTowerFixed,[ESPACE] Tour réparé,[SPACE] Tower fixed
hintLookOscillo,[ESPACE] Regarder l'oscilloscope,[SPACE] Look at the oscilloscope
hintAdjustOscillo,[ESPACE] Régler l'oscilloscope,[SPACE] Adjust the oscilloscope
hintOscilloCalibrated,[ESPACE] Oscilloscope réglé,[SPACE] Oscilloscope calibrated
hintPlaySutom,[ESPACE] Jouer au SUTOM,[SPACE] Play SUTOM
hintObserveMaze,[ESPACE] Observez le labyrinthe.,[SPACE] Observe the maze.
hintOpen,[ESPACE] Ouvrir,[SPACE] Open
hintClose,[ESPACE] Fermer,[SPACE] Close
hintToggleLight,[ESPACE] Allumer/Eteindre,[SPACE] Turn on/off
msgCablesIdle,Ces câbles ne sont pas branchés. Je vais recabler tout ça.,These cables are not connected. I'll rewire everything.
msgTowerRewired,La tour est recablé.,The tower is rewired.
msgRobotFiddlingCables,Le %s bidouille les câbles à l'arrière de la tour...,The %s is fiddling with the cables at the back of the tower...
